"","FID","prob.precip","dens.precip","prob.krieg","dens.krieg"
"1",454,NA,0.0343290070730566,NA,0.1477927813832
"2",454,NA,0.0397385738772347,NA,0.255625777350617
"3",454,NA,0.0458080970872459,NA,0.426686731827781
"4",454,NA,0.0525874894775163,NA,0.68789605069593
"5",454,NA,0.060146577051755,NA,1.08656150282111
"6",454,NA,0.0689795229759683,NA,1.65123221597264
"7",454,NA,0.0787981048957235,NA,2.41574539334946
"8",454,NA,0.0896677563358001,NA,3.40473228958953
"9",454,NA,0.101654183592469,NA,4.62603223974634
"10",454,NA,0.115496687691977,NA,6.06361066259398
"11",454,NA,0.130746156350193,NA,7.67263782308681
"12",454,NA,0.14747541277644,NA,9.37836929991704
"13",454,NA,0.165764016981272,NA,11.0799941142621
"14",454,NA,0.186545042962743,NA,12.6597582827946
"15",454,NA,0.209270124832612,NA,13.9965704840773
"16",454,NA,0.233970095663192,NA,14.9821697578633
"17",454,NA,0.260732403585711,0.000848642971836185,15.537051221141
"18",454,NA,0.290663181327486,0.00293278224961557,15.5948389733113
"19",454,NA,0.323132209260756,0.00501692152739496,15.1920649033878
"20",454,NA,0.358088753315334,0.00710106080517436,14.4063500347778
"21",454,NA,0.395616896063923,0.00918520008295375,13.3328336692692
"22",454,NA,0.436938668544539,0.0112693393607331,12.0809829215289
"23",454,NA,0.481373881274476,0.0133534786385125,10.7593106349354
"24",454,NA,0.52874707862394,0.0154376179162919,9.46270506312251
"25",454,NA,0.579122515394957,0.0175217571940713,8.26401415526337
"26",454,NA,0.633742649307107,0.0196058964718507,7.21043461112888
"27",454,NA,0.69191814762937,0.0216900357496301,6.32427195786293
"28",454,NA,0.753314019808066,0.0237741750274095,5.6069366933573
"29",454,NA,0.817954748776311,0.0258583143051889,5.04471140793107
"30",454,NA,0.886977154855234,0.0279424535829682,4.61486447930155
"31",454,NA,0.959721254806777,0.0300265928607476,4.29386524584419
"32",454,NA,1.03568258389508,0.032110732138527,4.05373750143548
"33",454,NA,1.11482601542993,0.0341948714163064,3.86711204931252
"34",454,NA,1.19804461506189,0.0362790106940858,3.71610778272617
"35",454,NA,1.28472872664277,0.0383631499718652,3.58690191527393
"36",454,NA,1.37423695289877,0.0404472892496446,3.46937939891474
"37",454,NA,1.46645987422789,0.042531428527424,3.35664734815184
"38",454,NA,1.56192382732092,0.0446155678052034,3.24452143023195
"39",454,NA,1.66005819853507,0.0466997070829828,3.13103068223562
"40",454,NA,1.76017253215913,0.0487838463607621,3.01595181189769
"41",454,NA,1.86207897712728,0.0508679856385415,2.90036909118731
"42",454,NA,1.96585925199501,0.0529521249163209,2.78625482489347
"43",454,NA,2.07092991131385,0.0550362641941003,2.67607118802633
"44",454,NA,2.17669604053484,0.0571204034718797,2.57250525872788
"45",454,NA,2.28290184752312,0.0592045427496591,2.47872311367363
"46",454,NA,2.38917581414617,0.0612886820274385,2.39591584440131
"47",454,NA,2.49483291729851,0.0633728213052179,2.32506609507703
"48",454,NA,2.59955991297446,0.0654569605829973,2.26638587748577
"49",454,NA,2.70305927601676,0.0675410998607767,2.21934057679197
"50",454,NA,2.80457683337868,0.069625239138556,2.18274419656782
"51",454,NA,2.90321882370488,0.0717093784163354,2.15490951771548
"52",454,NA,2.99914869244205,0.0737935176941148,2.1338328175287
"53",454,NA,3.09206612863571,0.0758776569718942,2.11739148570932
"54",454,NA,3.18097449632395,0.0779617962496736,2.10353435146782
"55",454,NA,3.26467661506422,0.080045935527453,2.0904483470285
"56",454,NA,3.34397161028834,0.0821300748052324,2.07669040049239
"57",454,NA,3.41860113888189,0.0842142140830118,2.06127899477228
"58",454,NA,3.48750731519234,0.0862983533607912,2.04359907180879
"59",454,NA,3.54914298310318,0.0883824926385706,2.02393813079034
"60",454,NA,3.60501957863342,0.0904666319163499,2.00299180898552
"61",454,NA,3.65496188732906,0.0925507711941293,1.98178839253966
"62",454,NA,3.69803232875804,0.0946349104719087,1.96158304098374
"63",454,NA,3.73236454418927,0.0967190497496881,1.94368423278015
"64",454,0.00083008088933903,3.76014256420442,0.0988031890274675,1.92925261518567
"65",454,0.00342317137822559,3.78130252197531,0.100887328305247,1.91909158893434
"66",454,0.00601626186711215,3.79516767075659,0.102971467583026,1.91345774323045
"67",454,0.00860935235599872,3.7996723983444,0.105055606860806,1.91192502240108
"68",454,0.0112024428448853,3.7975077094205,0.107139746138585,1.91333667254719
"69",454,0.0137955333337718,3.7887297977683,0.109223885416364,1.91587163897713
"70",454,0.0163886238226584,3.77299225393886,0.111308024694144,1.91723633201308
"71",454,0.0189817143115449,3.74822743674057,0.113392163971923,1.91467229032324
"72",454,0.0215748048004315,3.71736243972631,0.115476303249703,1.90577196656673
"73",454,0.0241678952893181,3.68056092479921,0.117560442527482,1.88931725738989
"74",454,0.0267609857782046,3.63779510623732,0.119644581805261,1.86488457213966
"75",454,0.0293540762670912,3.58723522760307,0.121728721083041,1.83303618289825
"76",454,0.0319471667559777,3.53171588669031,0.12381286036082,1.79518487504816
"77",454,0.0345402572448643,3.47147777601952,0.1258969996386,1.75331294261071
"78",454,0.0371333477337508,3.40673029522971,0.127981138916379,1.70960514672309
"79",454,0.0397264382226374,3.33611558824503,0.130065278194158,1.66606840914929
"80",454,0.0423195287115239,3.26205217659703,0.132149417471938,1.62420846408907
"81",454,0.0449126192004105,3.18481706273744,0.134233556749717,1.58481758279957
"82",454,0.0475057096892971,3.10468745690463,0.136317696027497,1.54790227887143
"83",454,0.0500988001781836,3.02109541745865,0.138401835305276,1.51275149022073
